id	title	created	sumVotesIncremented	spinoffCount
6560221863477248	Design challenge: Animating grass	2015-08-19T19:52:16Z	49	18
1126244575	All my programs	2012-12-07T00:22:50Z	48	25
5620766808	Spin-off of "Make your own dino skin 2"	2016-07-01T13:11:08Z	29	28
5209320543617024	Building a Voronoi diagram	2016-07-17T15:46:28Z	29	54
5259579591491584	Spin-off of "Project: Design an Animal"	2014-08-23T11:43:55Z	29	4
5333348146872320	Squash and stretch animation with Bezier curves	2015-09-20T11:35:50Z	29	15
6523419965784064	Cruise 2	2014-06-10T15:48:03Z	29	15
5920598529277952	Interactive: Build your own shape	2016-05-12T18:49:15Z	46	7
2366238770	INTERACT: Area of a circle	2013-11-21T03:33:00Z	89	38
1865375233	INTERACT: Approaching pi	2013-11-21T03:35:34Z	27	8
2205462216	Experimenting with epicycles	2013-10-15T16:58:42Z	27	28
4424503838	Make your own dinosaur skin 1	2016-06-14T14:24:41Z	27	47
4903499002937344	Noise effects	2016-04-08T15:26:55Z	27	7
2401149160	Circuit builder	2014-01-08T12:14:32Z	73	38
1070343402	Creating 3D Objects	2012-10-04T21:29:24Z	44	34
1124582657	Simulation of oil in water	2012-11-05T23:52:21Z	26	8
1660426498	3D tutorial 6	2014-06-13T19:26:26Z	26	35
4595589453971456	Project: Paint splatter	2014-08-13T09:39:03Z	26	13
4713041445912576	Spin-off of "Interactive: Subdivision in 3D"	2015-08-30T20:23:06Z	26	54
5206247414693888	Multiple shapes	2015-10-26T21:43:49Z	26	62
6047926155739136	Cuboid function	2015-10-26T21:43:39Z	26	73
1058402007	Network	2012-09-27T21:46:37Z	25	36
1099501029	Objects rotating independently	2013-10-20T12:26:36Z	25	14
6685933042663424	Telescope tracking Mars	2013-09-20T00:36:49Z	25	9
6733900069076992	Find outlines	2015-07-24T13:56:24Z	25	6
1982327104	Stock market simulation	2013-10-17T09:23:08Z	39	39
1167274497	3D cholesterol molecule	2012-12-13T12:13:43Z	23	13
1167740232	Balloon	2012-11-24T12:37:01Z	23	8
1928614394	Circular orbit	2013-09-20T10:40:17Z	23	37
1776213198	Markov Chain for English Words	2013-07-09T12:16:08Z	22	9
4762226271453184	Text adventure engine	2013-12-22T14:26:52Z	22	9
5953495622746112	Cube rotating with user interaction	2015-10-26T21:42:56Z	22	68
6725096403238912	Spin-off of "Design challenge: Modeling grass"	2015-09-24T16:37:46Z	22	49
4645347866181632	Interactive: Subdivision in 3D	2016-07-12T14:14:31Z	35	6
3348854364	Rotating handle	2016-03-12T20:42:27Z	21	2
4652228869750784	3D hanging cloth	2015-09-02T14:25:32Z	21	5
5871364978769920	Destroyable landscape	2014-07-18T18:05:48Z	21	7
6007248677896192	curveTightness	2016-01-23T18:08:06Z	21	2
6133434541932544	Brownian motion	2014-02-02T12:19:42Z	21	12
6608694815752192	Spin-off of "GAME: Cruise to Mars "	2015-02-21T23:46:59Z	21	24
1870897864	INTERACT: Shadows on Earth	2013-11-21T04:17:33Z	33	19
1059722724	Springy physics	2012-09-28T14:12:42Z	20	24
1169364753	Single stranded DNA	2013-09-26T15:36:05Z	20	7
1859086130	Exploring Ellipses	2013-10-18T15:29:47Z	20	9
1929106668	Elliptic orbit using a focus	2013-09-20T00:20:24Z	20	23
4725199156674560	Draw a circle	2015-12-12T15:26:29Z	20	4
5061254199771136	Spin-off of "Design challenge: Animating grass"	2016-08-21T10:28:59Z	20	24
5845425537941504	Dungeon Quest	2014-04-09T12:44:50Z	20	7
1645140418	3D tutorial 2	2013-05-15T18:05:57Z	19	36
1943637002	Subtended Angle	2014-10-01T11:26:00Z	19	23
1952660154	Right angle approximation	2013-09-20T01:03:11Z	19	19
5975169880948736	Bump map sphere	2016-01-30T13:54:32Z	19	1
6624408588386304	Straight ahead animation	2015-08-28T13:28:02Z	57	22
1074597462	3D ethane structure	2013-01-07T21:07:11Z	18	20
1237393731	Maxwell's Demon	2012-12-20T23:10:28Z	18	9
